IF1207 	20120608 	2 	7 	宝城期货 	900 	701 	0110 	IF 	
IF1207 	20120608 	0 	8 	浙江永安 	2155 	539 	0003 	IF 	
IF1207 	20120608 	1 	8 	广发期货 	773 	22 	0016 	IF 	
IF1207 	20120608 	2 	8 	中粮期货 	574 	55 	0010 	IF 	
IF1207 	20120608 	0 	9 	南华期货 	2154 	344 	0002 	IF 	
IF1207 	20120608 	1 	9 	申银万国 	759 	130 	0131 	IF 	
IF1207 	20120608 	2 	9 	鲁证期货 	270 	74 	0006 	IF 	
IF1207 	20120608 	0 	10 	中证期货 	1791 	-1021 	0018 	IF 	
IF1207 	20120608 	1 	10 	浙江永安 	700 	85 	0003 	IF 	
IF1207 	20120608 	2 	10 	华泰长城 	257 	72 	0011 	IF 	
IF1207 	20120608 	0 	11 	西部期货 	1736 	1231 	0160 	IF 	
IF1207 	20120608 	1 	11 	银河期货 	617 	93 	0109 	IF 	
IF1207 	20120608 	2 	11 	申银万国 	254 	144 	0131 	IF 	
IF1207 	20120608 	0 	12 	宏源期货 	1688 	600 	0137 	IF 	
IF1207 	20120608 	1 	12 	兴业期货 	498 	52 	0102 	IF 	
IF1207 	20120608 	2 	12 	银河期货 	238 	8 	0109 	IF 	
IF1207 	20120608 	0 	13 	鲁证期货 	1628 	676 	0006 	IF 	
IF1207 	20120608 	1 	13 	招商期货 	484 	29 	0136 	IF 	
IF1207 	20120608 	2 	13 	国都期货 	198 	0 	0130 	IF 	
IF1207 	20120608 	0 	14 	国信期货 	1616 	635 	0113 	IF 	
IF1207 	20120608 	1 	14 	大华期货 	459 	306 	0145 	IF 	
IF1207 	20120608 	2 	14 	南华期货 	186 	-3 	0002 	IF 	
IF1207 	20120608 	0 	15 	中国国际 	1612 	358 	0159 	IF 	
IF1207 	20120608 	1 	15 	信达期货 	455 	22 	0017 	IF 	
IF1207 	20120608 	2 	15 	上海东证 	162 	20 	0156 	IF 	
IF1207 	20120608 	0 	16 	天琪期货 	1582 	381 	0168 	IF 	
IF1207 	20120608 	1 	16 	光大期货 	453 	76 	0007 	IF 	
IF1207 	20120608 	2 	16 	浙江永安 	144 	12 	0003 	IF 	
IF1207 	20120608 	0 	17 	兴业期货 	1497 	656 	0102 	IF 	
IF1207 	20120608 	1 	17 	浙商期货 	442 	40 	0009 	IF 	
IF1207 	20120608 	2 	17 	国元海勤 	138 	-1 	0171 	IF 	
IF1207 	20120608 	0 	18 	大华期货 	1097 	509 	0145 	IF 	
IF1207 	20120608 	1 	18 	东海期货 	437 	0 	0008 	IF 	
IF1207 	20120608 	2 	18 	西部期货 	130 	75 	0160 	IF 	
IF1207 	20120608 	0 	19 	宝城期货 	1052 	492 	0110 	IF 	
IF1207 	20120608 	1 	19 	鲁证期货 	390 	8 	0006 	IF 	
IF1207 	20120608 	2 	19 	平安期货 	128 	-4 	0105 	IF 	
IF1207 	20120608 	0 	20 	瑞达期货 	1010 	239 	0170 	IF 	
IF1207 	20120608 	1 	20 	华安期货 	337 	196 	0147 	IF 	
IF1207 	20120608 	2 	20 	中国国际 	127 	105 	0159 	IF 	
IF1206 	20120611 	0 	1 	海通期货 	59158 	-6139 	0133 	IF 	
