ACAD 																																																																																																																																																																					1.89	0.737	0.71	0.13	0.106	0.634	1.062	0.185	0.846	0.279	0.579	0.521	0.405	3.108	6.735	4.101	4.301	8.505	7.365	5.701	1.789	3.587	2.878	3.091	6.612	7.133	7.983	8.115	15.386	14.217	18.723	16.85	15.939	17.541	1.211	8.439	4.653	10.92	7.247	12.249	14.733	7.598	14.304	13.421	30.437	20.731	28.969	27.085	3.824	17.476	34.177	15.793	18.75	10.484	8.098	10.63	19.771	7.722	11.28	5.277	2.456	0.473	1.464	1.203	1.002	1.863	0.375	0.515	0.971	0.417	0.655	0.885	0.638	0.475	1.105	0.742	0.566	1.063	0.125	0.883	1.329	1.292	0.174	0.852	1.711	1.975	0.89	0.795	1.011	1.968	0.711	0.242	3.231	2.616	8.751	8.752	4.95	8.913	9.15	2.415	1.878
ACCL 																																																															0.008		1.016	1.769	1.42	2.801	3.067	2.498	1.91	3.011	4.16	7.265	11.624	8.544	8.209	6.22	17.927	5.77	7.097	4.98	6.029	8.794	2.61	7.392	9.684	7.985	2.741	5.551	9.62	8.761	3.86	1.365	3.319	3.949	3.04	1.743	2.783	1.723	2.499	4.546	0.97	0.493	1.53	1.652	1.593	0.75	1.594	0.233	0.653	0.405	0.371	0.228	1.119	1.563	1.656	1.698	4.292	3.707	1.477	1.835	4.687	4.607	4.343	5.408	4.086	4.856	2.725	2.493	3.748	1.467	1.215	2.214	3.959	1.763	1.536	2.251	3.718	2.221	2.218	2.643	3.175	7.321	4.098	6.397	5.903	3.591	2.271	3.066	4.523	3.639	4.007	2.145	3.623	2.329	2.864	1.588	1.665	2.083	0.88	1.572	1.75	1.92	6.093	3.685	5.876	9.754	5.002	10.946	5.685	5.113	5.999	8.582	5.558	9.732	13.273	3.471	5.027	2.921	3.815	7.702	2.824	2.505	2.912	3.545	3.535	4.405	2.142	3.016	3.349	2.242	4.714	5.798	6.598	4.569	5.514	6.236	7.615	6.629	7.903	7.714	4.812	3.556	4.815	5.072	7	7.509	8.26	6.096	7.559	5.266	1.95	38.288	34.072	9.947	11.678	6.953	6.676	10.537	7.816	4.775	3.854	4.276	2.73	4.397	5.169	2.738	5.042	4.185	7.236	8.023	14.101	13.153	15.983	7.241	6.148	10.958	7.36	8.12	17.968	8.093	8.809	11.302	15.975	8.164	14.652	12.537	10.03	18.99	12.716	12.459	8.733	11.818	14.094	18.025	12.522	11.493	14.993	17.502	11.296	17.17	21.688	5.007	16.965
ACCO 																																																																																																																																																																																				0.561	0.673	0.686	4.92	5.376	4.961	10.725	10.225	7.248	9.519	11.585	18.476	15.286	13.973	15.031	16.847	14.739	8.646	10.464	13.026	15.149	20.661	24.408	18.609	17.084	17.252	18.946	20.911	7.875	13.202	15.074	25.658	22.729	23.493	8.615	14.662	10.272	4.664	1.487	3.551	4.223	3.591	3.568	2.431	3.731	2.751	2.123	2.29	1.94	3.607	5.735	6.862	5.274	11.25	10.32	8.323	8.167	5.356	10.612	10.317	9.345	10.587	13.637	13.174	11.119	12.741	7.52	14.181	12.798	17.249	11.093	18.179	12.063	10.089	4.054	10.726	5.984	6.909	10.182	4.641	4.606	6.383	8.489	6.265	7.013	12.956
ACFC 																																																																																																																																																																									0.078	0.334	0.303	0.673	3.441	6.211	4.42	10.847	15.187	0.196	0.272	0.228	5.392	3.338	2.067	5.012	21.225	6.358	4.861	1.094	1.257	1.059	2.02	3.231	4.585	17.356	8.964	11.941	10.889	0.526	0.872	1.889	0.95	0.971	2.179	8.953	4.081	7.848	2.928	3.603	1.32	2.23	1.655	3.098	2.722	0.984	2.467	0.75	0.26	1.848	0.216	1.092	0.7	1.899	0.212	0.903	0.776	1.094	0.168	5.596	8.299	11.121	1.555	7.588	32.723	14.192	7.286	10.886	11.204	21.628	12.092	0.92	0.568	0.521	2.072	1.77	0.112	1.266	1.211	0.154	0.652	1.507	0.151	0.708	0.123	0.14	0.302	1.629	0.733	1.06	1.616	1.022	0.892	3.399	0.976	1.476	0.983
ACHC 																																																																																																																																																																																																																																																														1.166	1.337	3.431	6.801	16.074	12.571	1.25	3.273	7.587	15.519	10.424	12.593
ACIM 																																																																																																																																																																																																																																																																		0	0				0.112	0.002	5.476
ACIM 																																																																																																																																																																																																																																																																							0.112	0.002	5.476
ACLS 																																																																																																																							0.108	0.284	0.11	0.102	0.184	0.222	0.56	0.55	1.306	1.262	1.955	2.014	2.663	4.013	4.274	3.366	5.627	3.668	4.086	6.49	5.965	3.679	3.545	4.498	4.442	5.053	2.023	2.541	2.438	1.503	3.13	1.75	2.193	1.845	1.004	1.285	1.289	2.326	1.445	0.752	1.554	2.255	1.197	1.211	2.089	2.619	4.151	3.064	3.752	4.667	2.359	1.328	1.933	2.852	2.991	3.893	2.975	3.373	2.946	2.979	3.339	2.936	2.499	2.178	1.948	1.883	1.165	2.6	2.415	2.247	2.84	4.736	5.248	5.681	4.427	4.267	3.24	3.254	2.237	5.695	5.381	4.194	6.854	6.962	4.851	9.612	6.694	15.172	12.296	9.359	11.23	11.073	11.274	15.173	10.528	17.489	15.435	4.848	3.714	4.971	4.097	3.23	2.296	1.49	2.368	1.185	0.67	0.53	0.138	0.075	0.122	0.198	0.199	0.062	0.165	0.143	0.336	0.307	1.988	3.65	7.048	4.234	4.248	4.093	2.071	1.986	1.958	2.876	1.39	4.693	4.772	4.655	7.497	7.189	5.26	7.086	5.241	2.011	2.683	4.209	6.017	3.711	8.44	4.082	9.669	3.919	10.029
ACM 																																																																																																																																																																																																								0.02	0.303	2.773	3.771	2.383	3.845	3.286	6.091	4.706	3.807	4.228	9.476	2.853	3.256	5.215	6.648	1.446	1.696	1.332	1.078	2.561	1.436	3.525	3.42	3.53	3.58	5.333	2.089	1.613	2.452	2.87	3.671	4.813	5.831	4.343	4.975	2.575	3.519	4.385	4.567	4.102	4.272	5.067	5.415	3.522	2.912	5.034	6.861	6.08	4.417	4.65	2.083	1.625	3.65	4.01	2.296	3.643	1.82	2.448	2.285	2.041	1.239	2.255	1.332	1.181	1.575
ACOM 																																																																																																																																																																																																																																						2.103	3.802	10.949	10.302	9.026	5.399	4.015	4.011	7.971	10.677	5.688	6.32	3.408	5.186	4.713	2.483	6.028	3.279	7.701	6.772	3.29	5.172	3.914	4.224	7.841	8.208	10.384	4.869	12.03	9.932	12.593	15.156	8.243	11.4	18.9	1.201
